5434405297836104|07|2028|313
5434408156320749|03|2030|817
5434409160854327|11|2025|951
5434404809316275|12|2026|473
5434409028371456|07|2030|468
5434402759063418|07|2026|100
5434404821675039|03|2029|418
5434400743265891|10|2027|508
5434407583469210|03|2025|529
5434405491638702|09|2030|278
5434400156498237|04|2024|498
5434406523194078|11|2028|610
5434404572830619|11|2025|314
5434404875619230|05|2027|846
5434400643275891|03|2030|744
5434405738269410|08|2027|288
5434402830694751|04|2027|938
5434406820495731|09|2027|872
5434401064537298|11|2024|434
5434400641935728|05|2026|939
5434406120879543|12|2027|471
5434404103892567|07|2030|724
5434405362087914|12|2026|773
5434402856014793|04|2029|210
5434407604983512|04|2030|340
5434407413589260|06|2028|527
5434409870426531|08|2024|951
5434402346019857|04|2030|779
5434407540916238|01|2029|716
5434403140295768|10|2025|753
5434408950632174|10|2028|203
5434409567124803|09|2027|484
5434404236905187|10|2030|981
5434407359846120|11|2028|589
5434400483952716|07|2024|528
5434408920173465|06|2026|324
5434401560237948|02|2027|139
5434402349078561|02|2025|794
5434401034258769|03|2028|373
5434403682574109|08|2030|191
5434408147395206|09|2030|644
5434407296341508|04|2026|210
5434403197428056|09|2025|748
5434409687304251|05|2028|288
5434405190378642|08|2028|547
5434406891407235|07|2024|712
5434409263785410|03|2028|313
5434408124763905|10|2025|174
5434404035789162|10|2024|901
5434409476183205|05|2027|570
